923,-571,828,3756,-1746,-1085,0,0
1360,-696,1202,3758,-2386,-1227,0,0
1070,-743,1505,3582,-2659,-959,0,0
268,-667,1635,3555,-3250,-956,0,0
-468,-662,1769,3526,-2988,-947,0,0
-599,-748,1996,3543,-3359,-789,0,0
-421,-728,2410,3590,-3520,-1011,0,0
24,-734,2845,3167,-3635,-1120,0,0
167,-790,3036,2752,-3844,-1360,0,0
18,-784,3025,1898,-3375,-1266,0,0
-51,-601,2735,1224,-3328,-1167,0,0
-258,-349,2436,802,-2831,-1380,0,0
-217,-134,1910,86,-1677,-1213,0,0
655,-20,1131,352,-1985,-1625,0,0
1674,48,440,110,-2172,-1430,0,0
1885,16,-236,146,-3007,-740,0,0
691,321,-833,406,-3978,-330,0,0
-228,587,-1113,611,-4433,-239,0,0
240,775,-953,631,-4910,-548,0,0
666,722,-605,720,-5188,-959,0,0
425,468,-317,577,-4890,-1335,0,0
122,159,-131,264,-4659,-1180,0,0
114,-50,35,153,-4536,-1011,0,0
120,-126,169,66,-4598,-871,0,0
225,-107,261,96,-4309,-876,0,0
-9,-57,298,180,-4222,-905,0,0
-254,2,275,113,-4457,-777,0,0
-215,14,321,359,-4258,-800,0,0
-180,17,348,414,-4267,-885,0,0
-745,-28,420,26,-3955,-1240,0,0
-895,-74,646,-713,-3288,-1057,0,0
-1232,202,1192,-849,-4228,-2328,0,0
-1716,200,1677,-813,-4504,-2975,0,0
-1782,125,1662,-1352,-6753,-3136,0,0
-2226,114,1612,-843,-7027,-2993,0,0
-1798,-223,1282,-224,-5837,-2589,0,0
-979,-454,628,-346,-3945,-1605,0,0
-404,-315,197,114,-1724,-703,0,0
156,-224,-148,622,-498,-738,0,0
363,-217,-29,48,-556,-152,0,0
-681,-84,258,-309,-923,87,0,0
-418,61,269,-986,-577,5,0,0
-725,6,716,-937,-1000,-548,0,0
-1044,58,961,-654,-1758,-1561,0,0
-1022,46,1048,-1128,-3537,-1631,0,0
-1934,406,829,-2250,-3428,-1551,0,0
144,588,941,-2152,-3701,-2202,0,0
-139,523,1040,-1587,-4036,-3356,0,0
-826,365,773,-1434,-2992,-3917,0,0
507,274,320,-1362,-3054,-4089,0,0
-62,158,-38,-1107,-3344,-4746,0,0
765,-78,-407,-2593,-2551,-4979,0,0
1521,-301,-505,-3028,-4141,-5740,0,0
811,-339,-446,-3337,-4498,-6221,0,0
562,-228,-703,-2506,-5405,-6895,0,0
-423,-294,-783,-1870,-5588,-6672,0,0
-1000,-236,-543,-2133,-4300,-5621,0,0
-1372,-154,-421,-1962,-4156,-5136,0,0
-1026,-310,-183,-2140,-4419,-5370,0,0
-1732,-523,-58,-2493,-3383,-4095,0,0
-1008,-583,-2056,-2373,-2867,-3479,0,0
111,-638,108,-2293,-2579,-3118,0,0
-673,-709,-51,-2034,-1354,-1410,0,0
-386,-603,-349,-1456,-116,550,0,0
744,-225,-284,-444,420,746,0,0
1124,80,63,86,-722,-13,0,0
754,314,241,-212,-1277,-697,0,0
259,273,380,-431,-1114,-738,0,0
53,-34,761,-767,-593,-313,0,0
-271,-332,788,-264,-94,-412,0,0
-76,-429,818,445,-109,-673,0,0
-243,-430,780,404,-684,-678,0,0
-812,-230,519,-228,-838,-978,0,0
-130,46,169,-1115,-2051,-1887,0,0
-27,156,206,-2381,-2615,-2631,0,0
846,-26,-272,-2921,-2870,-4412,0,0
631,-77,-589,-3896,-3956,-4961,0,0
127,273,-68,-4589,-3474,-4970,0,0
763,554,141,-4196,-2736,-4471,0,0
89,879,397,-3650,-2898,-4860,0,0
588,586,225,-4153,-2923,-4676,0,0
1251,441,-504,-3647,-5223,-4971,0,0
791,569,-308,-3244,-6260,-7221,0,0
1361,183,165,-3151,-4655,-6622,0,0
-200,243,363,-3468,-4080,-5838,0,0
-713,434,595,-3247,-4346,-5675,0,0
-697,434,572,-2277,-3680,-4850,0,0
-839,219,591,-1583,-3308,-4764,0,0
-404,-269,387,-627,-2810,-3958,0,0
-327,-703,-262,234,-1477,-2077,0,0
-232,-922,-663,60,-1284,-136,0,0
113,-661,-967,-350,-772,810,0,0
744,-512,-1005,-460,-1581,180,0,0
-832,-454,-716,-211,-1559,-108,0,0
-515,-555,-402,-494,-806,508,0,0
143,-613,-59,-658,-1368,191,0,0
-583,-429,435,-891,-599,-207,0,0
-813,-479,892,-1101,914,-757,0,0
-525,-552,1012,-2227,-353,-668,0,0
-61,-315,690,-2408,-1535,-978,0,0
-2224,41,635,-2628,-1616,-1960,0,0
321,369,524,-2591,-2858,-2708,0,0
436,544,119,-2356,-3607,-3737,0,0
159,560,-87,-2898,-1979,-4194,0,0
994,294,-100,-2705,-3329,-5256,0,0
173,175,-382,-3275,-3236,-5382,0,0
-199,328,-530,-4188,-2708,-5714,0,0
-132,327,-368,-4512,-3863,-6792,0,0
-1421,9,-327,-4235,-2227,-5395,0,0
-650,-107,-170,-4035,-2534,-4860,0,0
-625,-118,-22,-4035,-2506,-5998,0,0
-1193,-291,20,-4087,-856,-4891,0,0
113,-369,54,-4251,-1705,-4684,0,0
-159,-244,205,-4234,-3407,-4943,0,0
-187,-208,474,-3740,-2713,-4324,0,0
237,-219,669,-2220,-2262,-3071,0,0
-354,-311,725,-994,-2248,-826,0,0
-597,-247,269,-295,-465,1056,0,0
605,-345,-507,1003,-1601,1143,0,0
238,-148,-895,401,-1994,507,0,0
127,-47,-892,-225,-1225,-937,0,0
572,-155,-697,-102,-1266,-1385,0,0
187,-202,-477,-395,-619,-337,0,0
206,-160,-295,-748,-359,-266,0,0
14,-175,-41,-584,-592,-952,0,0
-198,-159,287,-1569,-747,-1107,0,0
-433,65,568,-2459,-1042,-1773,0,0
-423,49,363,-2897,-1343,-2765,0,0
756,-73,61,-3639,-2310,-3588,0,0
707,35,-49,-4170,-2747,-4801,0,0
492,101,-75,-4413,-2950,-4815,0,0
627,232,382,-4848,-2746,-4102,0,0
613,199,443,-5464,-2822,-3825,0,0
644,241,19,-5063,-2590,-4471,0,0
873,364,-462,-3793,-4544,-5756,0,0
485,577,-471,-3580,-5650,-6315,0,0
-125,856,-3,-4147,-3834,-6049,0,0
-535,1071,390,-4464,-2596,-5602,0,0
-622,1053,535,-6664,-2554,-4818,0,0
-895,819,787,-3662,-3094,-3826,0,0
-1062,397,931,-2000,-2233,-2334,0,0
205,118,736,-294,-1665,-1243,0,0
436,-143,64,953,-1597,-1503,0,0
506,-488,-923,606,-1382,-1811,0,0
1139,-355,-1324,-340,-944,-1372,0,0
947,-58,-1005,-967,-1687,-451,0,0
-149,136,-321,-1292,-2572,-379,0,0
-544,76,6,-988,-956,-135,0,0
27,-352,397,-1318,115,339,0,0
-231,-288,1059,-1134,265,-499,0,0
-651,-9,1428,-534,773,-1191,0,0
-798,29,1398,-666,-415,-1259,0,0
-794,-2,767,-762,-754,-1773,0,0
300,-141,-223,-2079,-1680,-2226,0,0
700,68,-906,-2505,-3342,-4960,0,0
267,62,-1190,-2548,-3006,-6296,0,0
16,-115,-1136,-2775,-3663,-5458,0,0
-276,39,-933,-2888,-3473,-5155,0,0
-120,91,-779,-2884,-3767,-5470,0,0
-286,-98,-926,-3052,-3218,-4816,0,0
429,-132,-1211,-3231,-3834,-5611,0,0
271,-72,-843,-2922,-5118,-7289,0,0
-1259,-244,-388,-3612,-3370,-5455,0,0
-776,-261,-18,-3273,-3036,-4780,0,0
-970,-387,191,-3306,-2195,-4804,0,0
-690,-495,150,-3733,-2061,-4059,0,0
-164,-359,247,-3220,-2942,-4073,0,0
-824,-155,201,-2559,-2267,-3631,0,0
97,-16,127,-2146,-1829,-2740,0,0
570,50,-205,-1631,-1205,-1196,0,0
412,5,-281,-700,-669,39,0,0
1408,73,240,-5,-842,368,0,0
589,214,176,131,-1466,-1154,0,0
-61,-25,180,-147,-778,-1203,0,0
406,-297,685,-933,-264,-418,0,0
211,-235,764,-973,-336,-729,0,0
-58,-119,772,-288,-479,-578,0,0
-624,27,1025,-40,-260,-69,0,0
-479,133,956,-49,-937,-587,0,0
-647,115,516,-69,-448,-1066,0,0
934,-175,68,-1888,-734,-1437,0,0
1863,-278,-421,-3771,-3155,-3852,0,0
1337,-141,-970,-4355,-4173,-5957,0,0
1057,85,-981,-4356,-5439,-6015,0,0
142,450,-636,-4028,-4640,-5776,0,0
130,469,-347,-4449,-4269,-4712,0,0
471,337,-1005,-6224,-4825,-5972,0,0
348,109,-667,-4747,-5104,-5620,0,0
-60,247,-55,-3897,-4320,-5885,0,0
-490,415,35,-3487,-3664,-6440,0,0
-883,264,16,-2813,-4133,-5152,0,0
-1536,235,291,-2162,-4126,-3453,0,0
-1249,406,491,-1630,-2177,-2635,0,0
-378,342,314,-1339,-2223,-2347,0,0
-298,224,217,-244,-1425,-2298,0,0
683,-250,-368,909,-535,-575,0,0
1279,-245,-1065,416,-1772,-526,0,0
1158,73,-1160,772,-1468,-2345,0,0
729,-169,-819,-277,-1158,-378,0,0
86,-248,-596,-819,-1764,85,0,0
-204,-330,-405,-597,-1508,-247,0,0
-196,-478,15,-1233,-461,492,0,0
-445,-237,352,-1152,149,-147,0,0
-125,-103,862,-1593,-422,-630,0,0
-21,141,1244,-1354,-2355,-2119,0,0
-589,246,747,-1132,-2715,-2826,0,0
484,93,228,-2210,-3431,-3111,0,0
658,178,-52,-1697,-4749,-4362,0,0
507,265,-199,-1890,-4165,-5259,0,0
16,133,-308,-1927,-3692,-5046,0,0
33,50,-429,-2177,-3941,-4489,0,0
-166,99,-481,-2337,-3543,-4103,0,0
129,179,-449,-1950,-5050,-4831,0,0
-245,154,-386,-2421,-4250,-5441,0,0
-154,-117,-162,-2986,-3135,-4559,0,0
150,-329,-113,-3109,-3369,-5182,0,0
-63,-530,-278,-3684,-3042,-4988,0,0
3,-492,6,-3379,-4099,-5176,0,0
-339,-444,606,-2842,-4983,-5569,0,0
-1119,-600,1027,-2556,-3896,-4062,0,0
-2680,-643,1101,-2285,-3257,-2834,0,0
-246,-508,760,-1784,-2844,-2236,0,0
-224,-259,332,-1039,-1687,-1135,0,0
150,-158,-11,-472,-933,-131,0,0
242,-64,-310,-516,-1261,108,0,0
-36,7,-187,-289,-779,198,0,0
144,1,-6,-214,-856,-331,0,0
-139,16,173,-482,-552,-413,0,0
23,-27,481,-225,-216,-344,0,0
165,-150,726,202,-757,-540,0,0
-374,-312,760,-117,-943,-1047,0,0
-610,-474,567,-548,-1339,-1612,0,0
-614,-504,218,-1863,-1206,-2555,0,0
224,-448,-247,-3265,-3177,-4135,0,0
208,-368,-734,-4274,-3613,-4840,0,0
186,-4,-605,-4931,-2353,-3881,0,0
702,466,-91,-4678,-3185,-4092,0,0
16,562,15,-4177,-2411,-3979,0,0
427,192,-10,-3523,-3261,-3245,0,0
535,180,-130,-3164,-4022,-3908,0,0
532,178,-516,-2753,-4398,-4701,0,0
268,30,-516,-3104,-4894,-4603,0,0
149,253,-188,-4320,-3804,-4788,0,0
21,369,183,-4707,-3170,-4714,0,0
-415,591,640,-4705,-2891,-4918,0,0
-412,661,999,-3742,-3649,-5181,0,0
-683,441,1111,-3036,-3322,-4422,0,0
-919,249,1084,-1982,-2629,-3419,0,0
-532,104,632,-884,-1560,-3057,0,0
73,-292,-47,365,-430,-862,0,0
877,-381,-617,944,-738,343,0,0
425,-64,-809,653,-381,-361,0,0
471,-80,-814,-548,-711,-718,0,0
-640,-309,-707,-744,-1702,-609,0,0
-1112,-438,-348,-1112,-417,62,0,0
-628,-357,71,-1269,-342,-78,0,0
-2832,-218,452,-996,178,-1034,0,0
-869,-306,889,-1407,393,-1129,0,0
-1436,-289,1222,-2381,-1410,-1749,0,0
-1684,-333,1128,-3116,-1031,-1726,0,0
-11,-591,409,-3654,-1269,-2139,0,0
1366,-443,-131,-3516,-3176,-4629,0,0
465,-74,-212,-3941,-2076,-4558,0,0
774,342,-192,-3832,-2011,-5011,0,0
406,577,-292,-4071,-1474,-5633,0,0
675,556,-365,-4348,-1648,-5012,0,0
750,810,-177,-3810,-3830,-6369,0,0
-755,682,85,-3737,-1897,-5493,0,0
441,324,472,-3366,-1605,-3852,0,0
145,423,735,-2585,-1779,-4152,0,0
-105,212,264,-2608,-1103,-3996,0,0
472,-195,-255,-2533,-2601,-4138,0,0
503,-288,-393,-3977,-2527,-3671,0,0
1223,-80,-272,-4442,-3063,-3748,0,0
1058,212,-328,-3238,-2971,-3906,0,0
952,268,-239,-2240,-2158,-2958,0,0
389,187,-184,-1691,-1583,-1235,0,0
163,15,-709,-476,-1333,-413,0,0
-51,-361,-870,276,-843,315,0,0
456,-523,-402,-111,-1039,71,0,0
-62,-522,-498,131,-1245,-435,0,0
-611,-536,-683,-364,-437,-62,0,0
-40,-363,-460,-2664,-790,-856,0,0
-329,-317,-238,-571,-1107,-2335,0,0
-870,-393,-121,-1049,-1036,-1638,0,0
206,-197,-53,-1690,-1975,-1677,0,0
560,-96,-165,-2189,-3781,-3305,0,0
113,-139,-466,-2663,-3839,-3828,0,0
721,9,-436,-3447,-3623,-3891,0,0
665,137,-384,-3827,-4133,-4027,0,0
540,142,-430,-3167,-4503,-3602,0,0
539,191,-100,-3285,-4578,-3073,0,0
68,214,372,-3420,-3428,-3312,0,0
241,70,297,-2954,-4630,-4416,0,0
11,-16,-145,-2946,-5127,-4624,0,0
226,16,48,-3220,-4982,-4426,0,0
-106,141,292,-3710,-4368,-4413,0,0
-535,285,491,-4074,-3335,-4153,0,0
-621,390,868,-3660,-3602,-4262,0,0
-892,380,941,-3149,-3942,-4392,0,0
-1116,305,870,-2715,-4258,-3960,0,0
-654,251,874,-2243,-4408,-3503,0,0
-276,162,767,-1537,-3098,-2787,0,0
-354,-100,342,-292,-972,-1736,0,0
-2144,-346,-189,509,251,-194,0,0
267,-433,-779,327,231,738,0,0
52,-211,-1055,-308,-171,222,0,0
-13,-57,-1072,-653,-1467,-1216,0,0
-560,-313,-819,-727,-1714,-895,0,0
-945,-549,-325,-807,-666,-185,0,0
-943,-628,274,-830,-929,-749,0,0
-1220,-573,457,-1444,-1336,-1356,0,0
-1050,-541,-17,-2848,-1726,-2156,0,0
131,-596,-898,-3739,-2285,-3740,0,0
1857,-560,-1732,-3462,-4471,-5630,0,0
1938,-511,-1262,-4332,-4916,-4936,0,0
229,3,-446,-4617,-3498,-3611,0,0
-93,404,-182,-4043,-1778,-2874,0,0
1029,377,11,-3955,-2394,-2645,0,0
937,540,14,-2908,-2668,-3127,0,0
390,906,76,-1745,-1647,-2583,0,0
817,954,194,-687,-1712,-1795,0,0
707,649,71,-192,-2383,-1461,0,0
218,227,98,30,-2715,-1184,0,0
-158,-22,285,-653,-2659,-1183,0,0
54,-10,302,-1839,-3256,-1506,0,0
-663,118,340,-1599,-3434,-2213,0,0
-1202,216,467,-1124,-2894,-2165,0,0
-1053,139,545,-1243,-2609,-1857,0,0
-995,167,647,-1431,-2381,-1354,0,0
-298,259,757,-2163,-2793,-934,0,0
-393,353,433,-2296,-3057,-1716,0,0
-447,551,138,-2563,-2036,-3364,0,0
448,536,167,-3240,-2167,-5197,0,0
827,420,388,-3798,-3314,-6791,0,0
64,212,507,-3563,-3411,-6761,0,0
-484,42,394,-2820,-2636,-5966,0,0
-72,87,298,-3090,-2674,-6771,0,0
-399,299,135,-3217,-2682,-6920,0,0
-814,375,-56,-3245,-2935,-6149,0,0
-1302,383,132,-3327,-2956,-4923,0,0
-935,203,322,-3065,-2441,-2577,0,0
-488,14,440,-2315,-1810,-1315,0,0
-199,-226,241,-1140,-1205,-985,0,0
203,-530,-70,-245,-722,-707,0,0
505,-766,-263,42,-692,-493,0,0
356,-757,-393,191,-1718,-743,0,0
-394,-697,-497,317,-2248,-518,0,0
-400,-488,-426,139,-1134,-81,0,0
189,-257,-364,-207,-343,-266,0,0
-15,-313,-458,-791,144,-403,0,0
-234,-497,-335,-1018,-320,-791,0,0
-522,-399,-130,-1743,-1422,-1603,0,0
-501,-153,-71,-2573,-1482,-2996,0,0
485,-46,-376,-3092,-2796,-4334,0,0
436,61,-673,-3188,-3027,-4696,0,0
757,49,-516,-4069,-3742,-3933,0,0
896,207,-159,-4457,-3419,-3532,0,0
701,468,312,-3694,-2559,-4272,0,0
639,364,651,-4570,-3179,-4706,0,0
62,254,399,-3856,-4432,-5328,0,0
75,406,22,-2841,-4040,-5040,0,0
883,435,97,-2087,-5456,-5401,0,0
-439,126,120,-3114,-3841,-5096,0,0
24,-176,81,-3992,-2507,-4576,0,0
156,-139,513,-4228,-3597,-5249,0,0
-1107,213,771,-4247,-2776,-5212,0,0
-952,444,923,-3365,-2580,-5152,0,0
-722,478,1227,-2796,-3086,-4798,0,0
-1404,448,1136,-2191,-1847,-3648,0,0
-1133,188,630,-1182,-270,-2109,0,0
-716,-325,-97,-145,690,-1116,0,0
193,-611,-611,15,-453,61,0,0
292,-343,-413,-185,-843,782,0,0
-350,-164,-83,-432,-635,441,0,0
-843,-184,-213,-169,-1378,-309,0,0
-1291,-303,-281,-308,-967,73,0,0
-698,-589,-154,-778,-640,1281,0,0
-823,-888,60,-359,-887,2144,0,0
-443,-929,596,-215,757,2245,0,0
290,-373,799,-1201,831,-878,0,0
69,670,401,-2551,138,-4085,0,0
850,774,-319,-5121,-159,-5622,0,0
1772,94,-396,-5258,-2497,-6155,0,0
361,1,42,-4883,-2279,-5860,0,0
-61,316,92,-3943,-793,-5898,0,0
80,313,-57,-3025,-1164,-7768,0,0
-129,234,-407,-2768,-1734,-4880,0,0
-55,318,-680,-3370,-1521,-4676,0,0
560,301,-888,-4141,-2396,-5374,0,0
89,282,-993,-6400,-2962,-6311,0,0
72,231,-750,-4076,-2362,-6793,0,0
14,-33,-150,-4141,-2789,-6183,0,0
-1301,-201,219,-4219,-1839,-5682,0,0
-563,-334,426,-4040,-1037,-4979,0,0
-321,-347,458,-4054,-584,-4084,0,0
-476,-211,132,-3233,-78,-3528,0,0
369,-208,-352,-2056,213,-2965,0,0
1293,-543,-555,-1058,-949,321,0,0
230,-393,-338,-340,-899,910,0,0
-2080,69,156,210,-946,421,0,0
-175,144,434,817,-1351,369,0,0
-595,137,341,1061,-362,595,0,0
-194,92,216,557,31,547,0,0
352,17,-29,322,-174,38,0,0
289,-16,-277,70,-308,-598,0,0
116,41,-513,-681,-881,-1928,0,0
-103,207,-676,-1591,-1802,-3282,0,0
-70,357,-508,-3061,-1638,-4048,0,0
430,157,-357,-3820,-2507,-4700,0,0
247,-38,-96,-3846,-2704,-5022,0,0
568,59,-201,-4087,-2133,-4684,0,0
1358,178,-468,-3267,-3719,-5308,0,0
552,183,-390,-3544,-4190,-5333,0,0
446,93,-360,-3795,-3110,-4936,0,0
389,181,-459,-3628,-3691,-5401,0,0
-239,532,-270,-3377,-3190,-6320,0,0
-360,678,22,-3399,-2229,-5925,0,0
-294,542,38,-2993,-2583,-5215,0,0
-628,422,31,-2709,-2876,-5539,0,0
-670,178,97,-2642,-2348,-4870,0,0
-219,5,254,-2431,-2278,-4522,0,0
-286,44,425,-2714,-2398,-4430,0,0
-165,-51,581,-2194,-2052,-3267,0,0
-63,-92,626,-1176,-1569,-2205,0,0
229,-152,252,-150,-933,-1967,0,0
801,-345,-241,434,-874,-1652,0,0
814,-414,-468,329,-428,-1165,0,0
726,-293,-341,-524,-795,-379,0,0
-115,-217,-503,-213,-1220,-334,0,0
-572,-256,-328,-105,-693,-166,0,0
-95,-309,136,-784,-498,49,0,0
-518,-238,261,-1099,-205,268,0,0
-728,-43,515,-1509,81,-75,0,0
-440,230,854,-1819,-895,-1629,0,0
-589,385,851,-1878,-2197,-2302,0,0
-227,397,433,-2927,-1828,-3302,0,0
927,216,173,-3272,-2397,-4458,0,0
983,38,147,-2860,-3166,-5851,0,0
721,146,95,-2919,-2356,-6025,0,0
726,308,65,-2663,-3002,-5698,0,0
-181,457,33,-2694,-3026,-5558,0,0
-9,369,-76,-2635,-2717,-5283,0,0
143,121,-194,-2583,-2706,-5562,0,0
-198,-170,-323,-2962,-2475,-5205,0,0
-49,-360,-417,-2901,-2463,-4941,0,0
-56,-336,-172,-3452,-2300,-5091,0,0
-264,-279,-42,-3555,-2545,-5447,0,0
-531,-292,71,-3351,-3136,-5284,0,0
-920,-113,267,-3096,-2130,-4937,0,0
-408,-31,155,-3063,-1995,-4113,0,0
-255,-4,-157,-2283,-1934,-4083,0,0
148,-280,-307,-1509,-1244,-2246,0,0
887,-817,-215,-1402,-681,398,0,0
1654,-757,-39,-1006,-662,154,0,0
516,-543,144,-33,-1999,-1035,0,0
-947,-499,251,393,-438,-538,0,0
15,-588,379,79,-664,-57,0,0
-846,-331,534,-390,-315,457,0,0
-851,-32,339,-500,229,362,0,0
-2832,51,409,-492,-904,-719,0,0
-1220,28,72,-600,-516,-1168,0,0
153,-152,-275,-763,-1624,-2320,0,0
667,-346,-290,-2558,-2169,-3377,0,0
426,-223,-507,-2858,-2205,-4461,0,0
835,-79,-521,-3383,-2242,-4621,0,0
666,198,-554,-4250,-2875,-4566,0,0
-83,405,-612,-4323,-2354,-4712,0,0
61,197,-420,-4942,-2341,-3766,0,0
419,218,-204,-4904,-3081,-4366,0,0
492,240,-12,-4319,-2901,-5203,0,0
488,175,208,-4477,-2784,-4240,0,0
486,418,371,-4142,-3066,-4468,0,0
785,457,698,-3699,-4051,-4801,0,0
53,400,686,-3256,-3188,-4085,0,0
548,377,504,-3039,-3371,-5117,0,0
-117,101,668,-3543,-3484,-5742,0,0
-273,-41,638,-3991,-3098,-5068,0,0
-321,216,945,-4228,-3767,-4389,0,0
-578,417,931,-2517,-2262,-3370,0,0
-481,105,293,-138,-843,-2520,0,0
-992,-206,-216,491,782,-1450,0,0
207,-324,-585,334,443,-705,0,0
36,-246,-556,-635,-1072,-542,0,0
-833,-238,-403,-1172,-532,-712,0,0
-909,-278,-330,-921,-1138,-641,0,0
-1868,-254,11,-634,-571,-179,0,0
-1430,-207,404,-969,-520,94,0,0
-1357,-53,612,-893,-695,-37,0,0
-1349,118,832,-1518,-9,-328,0,0
-716,114,622,-1690,-372,-989,0,0
-31,45,183,-2679,-681,-1038,0,0
363,151,243,-3271,-1287,-2305,0,0
1259,116,-16,-2968,-1576,-4080,0,0
1256,73,55,-4013,-1662,-6720,0,0
471,322,275,-3980,-315,-5890,0,0
855,260,13,-3929,-679,-6054,0,0
171,302,-339,-4246,-473,-6408,0,0
901,164,-587,-4371,-974,-6381,0,0
993,-11,-839,-4338,-2888,-7041,0,0
-247,-12,-770,-4524,-2115,-6028,0,0
557,80,-224,-4083,-2141,-5279,0,0
-148,84,106,-3230,-2802,-5881,0,0
-1341,11,167,-2589,-1493,-4767,0,0
-449,75,81,-2460,-1395,-3851,0,0
