-625,-115,59,2585,1978,-1596,0,0
-589,12,7,2457,1908,-1649,0,0
-837,161,-41,2524,2040,-1603,0,0
-651,170,-52,2724,2180,-1314,0,0
-298,33,-86,2689,2120,-1604,0,0
-367,21,-128,2544,2346,-1993,0,0
274,118,-143,2562,2439,-1990,0,0
1034,180,-154,2463,2514,-1893,0,0
2877,190,-139,2393,2903,-1761,0,0
4775,-26,25,2381,1484,-2831,0,0
3071,24,159,2489,433,-3435,0,0
850,218,178,2796,1090,-3143,0,0
-657,209,189,2869,1052,-2914,0,0
-2910,183,107,2704,906,-2712,0,0
-3963,103,-65,2512,2232,-2244,0,0
-3209,76,35,2567,2557,-1528,0,0
-2158,97,163,2720,2345,-697,0,0
-1215,-37,188,2690,2719,-599,0,0
-303,-60,207,2633,2508,-741,0,0
193,-109,212,2615,2167,-1152,0,0
645,-32,242,2701,2304,-1773,0,0
704,145,281,2800,2155,-1838,0,0
612,279,148,2907,2063,-1715,0,0
760,263,38,3044,2158,-1715,0,0
931,126,97,2980,1839,-1781,0,0
771,-4,151,2835,1439,-1774,0,0
595,-65,120,2701,1209,-1752,0,0
309,-24,-15,2685,1162,-1609,0,0
89,0,-215,2641,1120,-1508,0,0
-51,-47,-373,2570,1160,-1493,0,0
-136,-57,-592,2318,1145,-1381,0,0
-155,38,-910,1539,1418,-1272,0,0
-50,124,-1008,846,1408,-1428,0,0
-92,79,-660,1107,1208,-1683,0,0
-323,140,-464,2177,2087,-1897,0,0
-226,258,-520,3773,3948,-2374,0,0
335,94,-90,5050,4259,-3437,0,0
556,-208,687,6010,3501,-4193,0,0
885,-226,1121,5613,3020,-3420,0,0
950,-301,1114,4851,2153,-2745,0,0
804,-285,771,3847,1301,-2508,0,0
322,23,211,2450,-1,-1579,0,0
-569,588,-477,900,-520,-341,0,0
-395,972,-909,-377,396,528,0,0
327,818,-734,-1175,535,775,0,0
158,493,-651,-966,206,-1,0,0
-11,381,-429,10,79,-735,0,0
11,224,0,1383,383,-902,0,0
271,62,172,2341,1215,-1198,0,0
244,91,-132,3050,3740,-1840,0,0
242,37,-113,2706,5048,-2043,0,0
